罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金以外の主な被害品
窃盗,部品ねらい,中央,札幌駅前,11011,北海道,札幌市中央区,北５条西４丁目,2018/9/16,20,その他,その他
窃盗,部品ねらい,中央,大通,11011,北海道,札幌市中央区,大通東１丁目,2018/10/9,14,道路上,その他
窃盗,部品ねらい,中央,南三条,11011,北海道,札幌市中央区,大通西１０丁目,2018/8/12,16,道路上,タイヤ・ホイール
窃盗,部品ねらい,中央,南三条,11011,北海道,札幌市中央区,南２条西１０丁目,2018/7/20,9,その他,その他
窃盗,部品ねらい,中央,南三条,11011,北海道,札幌市中央区,南４条西６丁目,2018/11/30,15,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,中央,南三条,11011,北海道,札幌市中央区,南７条西８丁目,2018/3/29,18,駐車（輪）場,その他
窃盗,部品ねらい,中央,南三条,11011,北海道,札幌市中央区,南７条西９丁目,2018/11/25,15,駐車（輪）場,その他
窃盗,部品ねらい,中央,北一条西,11011,北海道,札幌市中央区,南１条西１７丁目,2018/4/18,13,その他,その他
窃盗,部品ねらい,中央,御幸,11011,北海道,札幌市中央区,南１条西１３丁目,2018/4/24,8,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,中央,御幸,11011,北海道,札幌市中央区,南４条西１５丁目,2018/9/25,15,４階建て以上共同住宅,その他
窃盗,部品ねらい,中央,御幸,11011,北海道,札幌市中央区,南６条西１８丁目,2018/3/21,8,駐車（輪）場,その他
窃盗,部品ねらい,中央,苗穂駅前,11011,北海道,札幌市中央区,北３条東１３丁目,2018/7/24,7,駐車（輪）場,その他
窃盗,部品ねらい,白石,東橋,11045,北海道,札幌市白石区,菊水７条２丁目,2018/5/2,7,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,白石,東橋,11045,北海道,札幌市白石区,菊水上町４条４丁目,2018/11/19,6,駐車（輪）場,その他
窃盗,部品ねらい,白石,東橋,11045,北海道,札幌市白石区,菊水上町,2017/12/29,7,その他,その他
窃盗,部品ねらい,白石,菊水,11045,北海道,札幌市白石区,菊水１条１丁目,2018/5/9,11,その他,ナンバープレート
窃盗,部品ねらい,白石,白石中央,11045,北海道,札幌市白石区,中央３条５丁目,2018/7/20,19,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,白石,白石中央,11045,北海道,札幌市白石区,平和通２丁目北,2018/2/14,19,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,白石,白石中央,11045,北海道,札幌市白石区,本通６丁目北,2018/5/18,17,４階建て以上共同住宅,ナンバープレート
