罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,中央,大通,011011,北海道,札幌市中央区,大通西５丁目,2018-08-01,16,その他,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,白石,南郷,011045,北海道,札幌市白石区,本郷通１丁目南,2018-08-02,21,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,白石,東白石,011045,北海道,札幌市白石区,栄通２１丁目,2018-05-01,08,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西,琴似本通,011070,北海道,札幌市西区,山の手３条６丁目,2018-01-27,23,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東,元町,011037,北海道,札幌市東区,北２６条東１０丁目,2018-10-27,18,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東,札苗,011037,北海道,札幌市東区,東雁来８条１丁目,2018-11-07,19,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,小樽,築港,012033,北海道,小樽市,若竹町,2018-06-14,14,道路上,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,小樽,朝里,012033,北海道,小樽市,新光２丁目,2018-06-24,16,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,門別,平取,016021,北海道,平取町,字荷菜,2018-04-05,17,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,北,新琴似,011029,北海道,札幌市北区,新琴似１１条１３丁目,2018-11-09,03,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,厚別,ひばりヶ丘,011088,北海道,札幌市厚別区,大谷地西１丁目,2018-07-28,23,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,名寄,西四条北,012211,北海道,名寄市,東４条北７丁目,2018-11-01,不明,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,名寄,西五条南,012211,北海道,名寄市,東５条南２丁目,2018-09-01,不明,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,北見,南,012084,北海道,北見市,春光町４丁目,2018-08-12,03,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,中央,薄野,011011,北海道,札幌市中央区,南５条西４丁目,2018-09-26,19,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,中央,桑園西,011011,北海道,札幌市中央区,北４条西１６丁目,2017-11-01,10,道路上,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,中央,桑園西,011011,北海道,札幌市中央区,北５条西１０丁目,2018-09-04,20,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,中央,桑園西,011011,北海道,札幌市中央区,北５条西２０丁目,2018-07-27,08,道路上,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,白石,白石中央,011045,北海道,札幌市白石区,平和通１丁目北,2018-08-10,17,４階建て以上共同住宅,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,白石,北郷,011045,北海道,札幌市白石区,北郷８条７丁目,2018-09-14,22,一戸建住宅,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,白石,南郷,011045,北海道,札幌市白石区,栄通１２丁目,2018-06-25,07,一戸建住宅,キーなし,あり,自動二輪（50cc超）
窃盗,オートバイ盗,白石,東白石,011045,北海道,札幌市白石区,本通１７丁目南,2018-05-13,22,道路上,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,白石,北都,011045,北海道,札幌市白石区,北郷２条１４丁目,2018-07-09,21,一戸建住宅,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西,琴似駅前,011070,北海道,札幌市西区,八軒５条東１丁目,2018-06-12,22,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西,琴似駅前,011070,北海道,札幌市西区,八軒１０条東１丁目,2018-08-01,20,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西,西町,011070,北海道,札幌市西区,宮の沢１条１丁目,2018-09-20,08,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,江別,文京台,012173,北海道,江別市,文京台東町,2018-07-15,23,４階建て以上共同住宅,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,小樽,小樽駅前,012033,北海道,小樽市,稲穂３丁目,2018-06-04,07,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,小樽,小樽駅前,012033,北海道,小樽市,稲穂３丁目,2018-08-05,17,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,小樽,築港,012033,北海道,小樽市,築港,2018-06-03,03,その他,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,苫小牧,弥生,012131,北海道,苫小牧市,弥生町２丁目,2018-07-14,15,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,苫小牧,沼ノ端,012131,北海道,苫小牧市,船見町２丁目,2018-11-10,08,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,苫小牧,錦岡,012131,北海道,苫小牧市,のぞみ町３丁目,2018-04-15,20,駐車（輪）場,キーなし,なし,なし
窃盗,オートバイ盗,苫小牧,錦岡,012131,北海道,苫小牧市,宮前町４丁目,2018-07-20,不明,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,苫小牧,錦岡,012131,北海道,苫小牧市,明徳町２丁目,2018-03-27,16,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,苫小牧,糸井,012131,北海道,苫小牧市,柏木町１丁目,2017-10-20,19,一戸建住宅,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,苫小牧,沼ノ端北,012131,北海道,苫小牧市,北栄町１丁目,2018-08-01,19,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,南,南九条,011011,北海道,札幌市中央区,南１２条西８丁目,2016-05-24,16,４階建て以上共同住宅,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,南,澄川,011061,北海道,札幌市南区,澄川６条４丁目,2017-10-07,18,４階建て以上共同住宅,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,北,札幌駅北口,011029,北海道,札幌市北区,北１１条西３丁目,2018-07-04,22,４階建て以上共同住宅,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,北,新琴似西,011029,北海道,札幌市北区,新琴似５条１１丁目,2018-08-01,00,その他,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,北,新琴似,011029,北海道,札幌市北区,新琴似３条１丁目,2018-10-27,23,道路上,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,北,北三十条,011029,北海道,札幌市北区,北３３条西９丁目,2018-07-05,06,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,北,花川南,012351,北海道,石狩市,花川南２条３丁目,2018-09-08,21,一戸建住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,北,花川南,012351,北海道,石狩市,花川南５条２丁目,2018-06-24,11,一戸建住宅,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,北,屯田,011029,北海道,札幌市北区,屯田３条２丁目,2018-09-30,16,一戸建住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,北,屯田,011029,北海道,札幌市北区,屯田６条７丁目,2018-06-27,13,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,北,麻生,011029,北海道,札幌市北区,麻生町６丁目,2018-06-17,22,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,北,麻生,011029,北海道,札幌市北区,北３４条西５丁目,2018-06-27,01,道路上,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,豊平,旭,011053,北海道,札幌市豊平区,豊平９条９丁目,不明,不明,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,豊平,月寒,011053,北海道,札幌市豊平区,月寒東３条７丁目,2018-12-24,07,その他の住宅（３階建て以下共同住宅等）,キーなし,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,豊平,中央通,011100,北海道,札幌市清田区,里塚３条４丁目,2018-06-24,21,一戸建住宅,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,厚別,ひばりヶ丘,011088,北海道,札幌市厚別区,大谷地東３丁目,2018-09-18,08,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,厚別,もみじ台,011088,北海道,札幌市厚別区,もみじ台南２丁目,2018-07-10,08,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,厚別,大曲,012343,北海道,北広島市,大曲,2018-08-03,15,その他,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,厚別,大曲,012343,北海道,北広島市,大曲末広５丁目,2018-10-10,19,一戸建住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,手稲,前田,011096,北海道,札幌市手稲区,前田６条１６丁目,2018-06-03,08,一戸建住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,手稲,前田,011096,北海道,札幌市手稲区,前田８条１５丁目,2018-07-10,00,駐車（輪）場,キーなし,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,手稲,稲積,011096,北海道,札幌市手稲区,前田５条８丁目,2018-06-19,23,駐車（輪）場,キーなし,なし,なし
窃盗,オートバイ盗,せたな,今金,013706,北海道,今金町,字美利河,2018-07-03,14,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,名寄,西五条南,012211,北海道,名寄市,東４条南１丁目,2018-09-25,不明,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,旭川東,豊岡,012041,北海道,旭川市,豊岡７条４丁目,2018-08-16,16,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,旭川東,東光,012041,北海道,旭川市,東光５条８丁目,2018-06-16,19,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,旭川東,南町,012041,北海道,旭川市,南８条通２３丁目,2018-08-18,21,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,北見,西,012084,北海道,北見市,とん田東町,2018-10-12,12,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
