日付,A:総入園者数,B:有料入園者数,C:無料入園者数,D:Cのうち幼児,E:Cのうち小学生,F:Cのうち中学生,G:Cのうち障がい者,H:Cのうち市内６５歳以上,I:CのうちD〜H以外
2018-11-01,1169,612,557,259,169,18,14,74,23
2018-11-02,1409,949,460,239,51,8,42,69,51
2018-11-03,6807,3938,2869,1781,536,43,109,286,114
2018-11-04,7579,4450,3129,2075,559,57,111,212,115
2018-11-05,1529,1052,477,269,59,6,27,85,31
2018-11-06,1023,616,407,282,21,10,12,36,46
2018-11-07,1388,941,447,254,20,1,11,127,34
2018-11-08,1280,694,586,381,22,10,12,82,79
2018-11-09,784,488,296,164,79,4,2,6,41
2018-11-10,2949,1805,1144,709,186,27,36,84,102
2018-11-11,3878,2386,1492,944,324,32,40,82,70
2018-11-12,0,0,0,0,0,0,0,0,0
2018-11-13,0,0,0,0,0,0,0,0,0
2018-11-14,0,0,0,0,0,0,0,0,0
2018-11-15,0,0,0,0,0,0,0,0,0
2018-11-16,0,0,0,0,0,0,0,0,0
2018-11-17,2587,1739,848,441,179,30,45,64,89
2018-11-18,3567,2260,1307,856,212,48,42,74,75
2018-11-19,808,539,269,69,160,3,7,16,14
2018-11-20,768,518,250,157,15,2,14,23,39
2018-11-21,566,317,249,135,0,67,4,16,27
2018-11-22,766,493,273,70,143,0,14,8,38
2018-11-23,1739,1242,497,237,150,25,30,26,29
2018-11-24,2393,1700,693,376,190,31,25,18,53
2018-11-25,2153,1523,630,386,114,45,20,18,47
2018-11-26,870,662,208,144,7,4,12,26,15
2018-11-27,786,598,188,115,16,0,12,37,8
2018-11-28,0,0,0,0,0,0,0,0,0
2018-11-29,669,557,112,65,7,0,10,12,18
2018-11-30,566,481,85,55,14,1,3,11,1
