日付,A:総入園者数,B:有料入園者数,C:無料入園者数,D:Cのうち幼児,E:Cのうち小学生,F:Cのうち中学生,G:Cのうち障がい者,H:Cのうち市内６５歳以上,I:CのうちD～H以外
2018-12-01,976,682,294,181,48,13,6,17,29
2018-12-02,2587,1748,839,634,103,11,19,33,39
2018-12-03,1215,808,407,215,84,5,13,54,36
2018-12-04,619,444,175,112,25,1,4,10,23
2018-12-05,603,474,129,85,14,5,9,8,8
2018-12-06,555,427,128,87,14,2,4,9,12
2018-12-07,373,249,124,26,67,5,6,7,13
2018-12-08,860,626,234,114,43,6,14,25,32
2018-12-09,1433,1059,374,198,86,16,20,9,45
2018-12-10,616,505,111,68,17,5,4,5,12
2018-12-11,605,431,174,131,14,2,5,6,16
2018-12-12,0,0,0,0,0,0,0,0,0
2018-12-13,788,616,172,107,14,1,6,17,27
2018-12-14,465,384,81,45,22,4,2,2,6
2018-12-15,1642,1167,475,253,113,6,14,24,65
2018-12-16,1683,1211,472,252,118,7,26,26,43
2018-12-17,517,377,140,95,17,1,8,3,16
2018-12-18,621,453,168,89,23,8,3,10,35
2018-12-19,596,438,158,95,8,4,12,18,21
2018-12-20,692,538,154,79,38,6,3,13,15
2018-12-21,746,596,150,79,38,2,8,18,5
2018-12-22,1404,1012,392,194,103,31,11,16,37
2018-12-23,2100,1546,554,336,116,24,19,26,33
2018-12-24,2040,1500,540,272,145,41,27,27,28
2018-12-25,1239,929,310,182,55,20,9,19,25
2018-12-26,0,0,0,0,0,0,0,0,0
2018-12-27,1356,924,432,162,171,26,15,19,39
2018-12-28,1239,806,433,200,132,35,21,22,23
2018-12-29,0,0,0,0,0,0,0,0,0
2018-12-30,0,0,0,0,0,0,0,0,0
2018-12-31,0,0,0,0,0,0,0,0,0
