日付,A:総入園者数,B:有料入園者数,C:無料入園者数,D:Cのうち幼児,E:Cのうち小学生,F:Cのうち中学生,G:Cのうち障がい者,H:Cのうち市内６５歳以上,I:CのうちD～H以外
2019-05-01,10229,6246,3983,1675,1306,206,166,469,161
2019-05-02,9455,5734,3721,1564,1231,209,145,456,116
2019-05-03,14736,9222,5514,2558,1621,236,232,655,212
2019-05-04,16658,9948,6710,2899,2192,298,311,741,269
2019-05-05,14075,8449,5626,2321,1944,330,284,510,237
2019-05-06,6812,4218,2594,1163,758,191,123,244,115
2019-05-07,2252,1413,839,293,36,40,90,301,79
2019-05-08,0,0,0,0,0,0,0,0,0
2019-05-09,3488,2017,1471,602,50,159,107,370,183
2019-05-10,1935,1071,864,405,20,97,65,132,145
2019-05-11,5454,3303,2151,1188,420,82,111,168,182
2019-05-12,7099,4333,2766,1542,682,122,113,186,121
2019-05-13,2978,1847,1131,550,85,46,50,336,64
2019-05-14,3556,2069,1487,739,29,153,54,393,119
2019-05-15,3177,1762,1415,596,83,209,78,239,210
2019-05-16,3733,1805,1928,941,73,253,94,324,243
2019-05-17,3499,1775,1724,1074,66,61,68,203,252
2019-05-18,7632,4554,3078,1584,674,175,147,214,284
2019-05-19,8081,4795,3286,1877,733,139,141,214,182
2019-05-20,3042,1868,1174,770,58,13,63,165,105
2019-05-21,691,459,232,123,12,12,5,34,46
2019-05-22,0,0,0,0,0,0,0,0,0
2019-05-23,4017,1850,2167,1144,77,380,78,238,250
2019-05-24,3524,1757,1767,1032,55,63,84,289,244
2019-05-25,6020,3526,2494,1356,538,97,108,170,225
2019-05-26,5877,3735,2142,1170,597,81,79,111,104
2019-05-27,2428,1497,931,404,298,17,47,88,77
2019-05-28,2628,1271,1357,751,18,116,58,188,226
2019-05-29,2981,1608,1373,656,61,92,70,249,245
2019-05-30,3163,1633,1530,907,23,121,65,223,191
2019-05-31,5278,2268,3010,2005,14,469,67,163,292
